Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release
Denmark,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,103.2,the real slim shady,Eminem,0,detroit hip hop,39078037,0,The Marshall Mathers LP,5/23/2000,8,18,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,284200,4,hip hop,7471
Finland,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,422.4,the real slim shady,Eminem,0,detroit hip hop,39078037,0,The Marshall Mathers LP,5/23/2000,8,18,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,284200,4,hip hop,7471
Ireland,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,167.75,the real slim shady,Eminem,0,detroit hip hop,39078037,0,The Marshall Mathers LP,5/23/2000,8,18,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,284200,4,hip hop,7471
Norway,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,18.4,the real slim shady,Eminem,0,detroit hip hop,39078037,0,The Marshall Mathers LP,5/23/2000,8,18,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,284200,4,hip hop,7471
New Zealand,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,431.9,the real slim shady,Eminem,0,detroit hip hop,39078037,0,The Marshall Mathers LP,5/23/2000,8,18,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,284200,4,hip hop,7471
Sweden,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,12,the real slim shady,Eminem,0,detroit hip hop,39078037,0,The Marshall Mathers LP,5/23/2000,8,18,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,284200,4,hip hop,7471
Global,https://open.spotify.com/track/4at9j7aC7FvDlsllpOvsAC,36.8,what u sayin,Lil Pump - Smokepurpp,0,emo rap,7325898,0,Lil Pump,10/6/2017,1,15,0.949,0.524,7,-7.283,1,0.0504,0.238,2.22E-05,0.108,0.685,122.959,140488,4,rap,1135
USA,https://open.spotify.com/track/4at9j7aC7FvDlsllpOvsAC,139.7,what u sayin,Lil Pump - Smokepurpp,0,emo rap,7325898,0,Lil Pump,10/6/2017,1,15,0.949,0.524,7,-7.283,1,0.0504,0.238,2.22E-05,0.108,0.685,122.959,140488,4,rap,1135
Canada,https://open.spotify.com/track/4at9j7aC7FvDlsllpOvsAC,311.1,what u sayin,Lil Pump - Smokepurpp,0,emo rap,7325898,0,Lil Pump,10/6/2017,1,15,0.949,0.524,7,-7.283,1,0.0504,0.238,2.22E-05,0.108,0.685,122.959,140488,4,rap,1135
Switzerland,https://open.spotify.com/track/4at9j7aC7FvDlsllpOvsAC,71.2,what u sayin,Lil Pump - Smokepurpp,0,emo rap,7325898,0,Lil Pump,10/6/2017,1,15,0.949,0.524,7,-7.283,1,0.0504,0.238,2.22E-05,0.108,0.685,122.959,140488,4,rap,1135
Finland,https://open.spotify.com/track/4at9j7aC7FvDlsllpOvsAC,23.2,what u sayin,Lil Pump - Smokepurpp,0,emo rap,7325898,0,Lil Pump,10/6/2017,1,15,0.949,0.524,7,-7.283,1,0.0504,0.238,2.22E-05,0.108,0.685,122.959,140488,4,rap,1135
Italy,https://open.spotify.com/track/4at9j7aC7FvDlsllpOvsAC,120.4,what u sayin,Lil Pump - Smokepurpp,0,emo rap,7325898,0,Lil Pump,10/6/2017,1,15,0.949,0.524,7,-7.283,1,0.0504,0.238,2.22E-05,0.108,0.685,122.959,140488,4,rap,1135
France,https://open.spotify.com/track/3dcgeFmLsas0jM13iFqJJU,116.8,tim€,Josman,0,french hip hop,306103,0,J.O.$,9/14/2018,6,16,0.948,0.543,7,-6.08,0,0.228,0.426,0,0.112,0.779,139.019,208917,4,hip hop,792
France,https://open.spotify.com/track/1m7H3GzBDuJO9uenli3Jjd,134.4,je suis pas solo,Jul,0,francoton,3127974,0,La zone en personne,12/7/2018,2,40,0.948,0.683,6,-6.49,0,0.0706,0.361,0.000155,0.0961,0.858,125.964,185257,4,indie,708
Belgium,https://open.spotify.com/track/0rz1z1dAOnu3qDbn2mD5UM,287.55,audemars piguet,Lacrim,0,arabic hip hop,1489309,0,R.I.P.R.O 3,11/17/2017,13,18,0.948,0.516,7,-8.413,0,0.379,0.229,1.72E-06,0.135,0.239,115.961,225333,4,hip hop,1093
Switzerland,https://open.spotify.com/track/0rz1z1dAOnu3qDbn2mD5UM,74.4,audemars piguet,Lacrim,0,arabic hip hop,1489309,0,R.I.P.R.O 3,11/17/2017,13,18,0.948,0.516,7,-8.413,0,0.379,0.229,1.72E-06,0.135,0.239,115.961,225333,4,hip hop,1093
France,https://open.spotify.com/track/0rz1z1dAOnu3qDbn2mD5UM,1973.35,audemars piguet,Lacrim,0,arabic hip hop,1489309,0,R.I.P.R.O 3,11/17/2017,13,18,0.948,0.516,7,-8.413,0,0.379,0.229,1.72E-06,0.135,0.239,115.961,225333,4,hip hop,1093
Global,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,438.05,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
USA,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,927.5,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
UK,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,8,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Austria,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,44,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Belgium,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,73.6,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Canada,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,1380.1,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Switzerland,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,88.8,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Germany,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,55.2,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Denmark,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,547.4,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Finland,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,192.8,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
France,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,4.8,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Ireland,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,124.8,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Italy,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,45.6,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Netherlands,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,24.8,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Norway,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,748.75,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Poland,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,275.05,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Portugal,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,52,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Sweden,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,79.2,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
Taiwan,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ,52.8,be like me,Lil Pump - Lil Wayne,0,emo rap,7325898,0,Harverd Dropout,2/22/2019,12,16,0.948,0.396,5,-8.08,0,0.173,0.00335,0,0.192,0.593,104.006,240000,4,rap,631
France,https://open.spotify.com/track/4hCrJj6PbtDI1Qp3JjZchx,27.2,varadero,Naps,0,francoton,968816,0,Carré VIP,2/28/2020,13,21,0.948,0.705,9,-5.178,0,0.0576,0.238,0,0.0647,0.612,129.971,179880,4,indie,260
Austria,https://open.spotify.com/track/5G8IPSEDXk1xViosCgb3Rt,4.8,pretty babé,Yung Hurn,0,german hip hop,326465,0,Love Hotel,3/14/2017,9,10,0.948,0.361,1,-6.355,1,0.114,0.0145,0.00349,0.0967,0.232,128.995,196826,4,hip hop,1338
Sweden,https://open.spotify.com/track/0Od5NgewZTlogExXBOX5jC,1466.85,annan kaliber,Ant Wan,0,swedish gangsta rap,65209,0,724,4/2/2020,7,15,0.947,0.513,1,-10.838,1,0.32,0.0757,0.00676,0.169,0.52,125.04,123317,4,rap,226
Global,https://open.spotify.com/track/1vBeIXlzbAieGoDqInav5j,503.2,money bag,Cardi B,0,pop,13132135,0,Invasion of Privacy,4/6/2018,9,13,0.947,0.788,10,-6.138,0,0.124,0.107,0.000691,0.108,0.454,129.977,229005,4,pop,953
USA,https://open.spotify.com/track/1vBeIXlzbAieGoDqInav5j,2023.95,money bag,Cardi B,0,pop,13132135,0,Invasion of Privacy,4/6/2018,9,13,0.947,0.788,10,-6.138,0,0.124,0.107,0.000691,0.108,0.454,129.977,229005,4,pop,953
UK,https://open.spotify.com/track/1vBeIXlzbAieGoDqInav5j,47.2,money bag,Cardi B,0,pop,13132135,0,Invasion of Privacy,4/6/2018,9,13,0.947,0.788,10,-6.138,0,0.124,0.107,0.000691,0.108,0.454,129.977,229005,4,pop,953
Canada,https://open.spotify.com/track/1vBeIXlzbAieGoDqInav5j,951.1,money bag,Cardi B,0,pop,13132135,0,Invasion of Privacy,4/6/2018,9,13,0.947,0.788,10,-6.138,0,0.124,0.107,0.000691,0.108,0.454,129.977,229005,4,pop,953
